NPuzzle Problem,size = 8, iterations = 5, timeout = 10s

Algorithm,Heuristic,,Length_Min,Length_Max,Length_Mean,Length_Median,Length_Modes,,Time_Min,Time_Max,Time_Mean,Time_Median,Time_Modes,,Success,Timed_Up
Greedy Best First Search,Manhattan,,19,120,55.2,39,"[37, 39, 19, 61, 120]",,0.007632255554199219,0.12945938110351562,0.04726266860961914,0.03958892822265625,"[0.03958892822265625, 0.011945247650146484, 0.007632255554199219, 0.047687530517578125, 0.12945938110351562]",,5,0
,Misplaced Tiles,,37,106,82,87,"[95, 87, 37, 85, 106]",,0.0054624080657958984,0.15427851676940918,0.09752540588378907,0.10438990592956543,"[0.07656145095825195, 0.10438990592956543, 0.0054624080657958984, 0.14693474769592285, 0.15427851676940918]",,5,0
,Gaschnig,,15,150,93.6,95,"[95, 63, 15, 145, 150]",,0.004044294357299805,0.35848093032836914,0.16936192512512208,0.09145832061767578,"[0.09145832061767578, 0.04143333435058594, 0.004044294357299805, 0.35848093032836914, 0.3513927459716797]",,5,0
,Max Manhattan Gaschnig,,19,120,55.2,39,"[37, 39, 19, 61, 120]",,0.007904052734375,0.134474515914917,0.04929947853088379,0.03820443153381348,"[0.03820443153381348, 0.013315677642822266, 0.007904052734375, 0.05259871482849121, 0.134474515914917]",,5,0
Best First Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
A* Search,Manhattan,,15,23,21.2,23,"[23]",,0.011217832565307617,1.3444511890411377,0.5405815124511719,0.4624755382537842,"[0.717771053314209, 0.4624755382537842, 0.011217832565307617, 1.3444511890411377, 0.1669919490814209]",,5,0
,Misplaced Tiles,,15,22,18.5,18.5,"[15, 22]",,0.04492950439453125,7.613078355789185,3.829003930091858,3.829003930091858,"[0.04492950439453125, 7.613078355789185]",,2,3
,Gaschnig,,15,23,21.2,23,"[23]",,0.025683164596557617,8.773028373718262,5.0453332424163815,6.460634708404541,"[8.773028373718262, 6.460634708404541, 0.025683164596557617, 6.9223949909210205, 3.0449249744415283]",,5,0
,Max Manhattan Gaschnig,,15,23,21.2,23,"[23]",,0.012814521789550781,1.3623909950256348,0.5496742725372314,0.47500109672546387,"[0.721163272857666, 0.47500109672546387, 0.012814521789550781, 1.3623909950256348, 0.1770014762878418]",,5,0
A* Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
Iterative Deepening Search,-,,-,-,-,-,"-",,-,-,-,-,"-",,0,5
Iterative Deepening Graph Search,-,,15,15,15,15,"[15]",,0.17464184761047363,0.17464184761047363,0.17464184761047363,0.17464184761047363,"[0.17464184761047363]",,1,4
